Id no.,Type,Sentence,Bag_of_Words
1,Ambiguous,The payment should be made at the earliest.,"{'the': 2, 'payment': 1, 'should': 1, 'be': 1, 'made': 1, 'at': 1, 'earliest': 1}"
2,Ambiguous,You must respond within a reasonable time.,"{'you': 1, 'must': 1, 'respond': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'time': 1}"
3,Ambiguous,The tenant must maintain the premises from time to time.,"{'the': 2, 'tenant': 1, 'must': 1, 'maintain': 1, 'premises': 1, 'from': 1, 'time': 2, 'to': 1}"
4,Ambiguous,The employee may be called upon to work extended hours whenever required.,"{'the': 1, 'employee': 1, 'may': 1, 'be': 1, 'called': 1, 'upon': 1, 'to': 1, 'work': 1, 'extended': 1, 'hours': 1, 'whenever': 1, 'required': 1}"
5,Ambiguous,The matter will be reviewed by the concerned authority.,"{'the': 2, 'matter': 1, 'will': 1, 'be': 1, 'reviewed': 1, 'by': 1, 'concerned': 1, 'authority': 1}"
6,Ambiguous,Action will be taken by the appropriate officer.,"{'action': 1, 'will': 1, 'be': 1, 'taken': 1, 'by': 1, 'the': 1, 'appropriate': 1, 'officer': 1}"
7,Ambiguous,The contractor shall provide adequate safety measures.,"{'the': 1, 'contractor': 1, 'shall': 1, 'provide': 1, 'adequate': 1, 'safety': 1, 'measures': 1}"
8,Ambiguous,You are expected to ensure proper compliance.,"{'you': 1, 'are': 1, 'expected': 1, 'to': 1, 'ensure': 1, 'proper': 1, 'compliance': 1}"
9,Ambiguous,The employee should maintain a satisfactory performance level.,"{'the': 1, 'employee': 1, 'should': 1, 'maintain': 1, 'a': 1, 'satisfactory': 1, 'performance': 1, 'level': 1}"
10,Ambiguous,The vendor must take necessary precautions.,"{'the': 1, 'vendor': 1, 'must': 1, 'take': 1, 'necessary': 1, 'precautions': 1}"
11,Ambiguous,The student may be allowed to appear for exams under special conditions.,"{'the': 1, 'student': 1, 'may': 1, 'be': 1, 'allowed': 1, 'to': 1, 'appear': 1, 'for': 1, 'exams': 1, 'under': 1, 'special': 1, 'conditions': 1}"
12,Ambiguous,The authority may impose penalties as it thinks fit.,"{'the': 1, 'authority': 1, 'may': 1, 'impose': 1, 'penalties': 1, 'as': 1, 'it': 1, 'thinks': 1, 'fit': 1}"
13,Ambiguous,Students must avoid any inappropriate behaviour.,"{'students': 1, 'must': 1, 'avoid': 1, 'any': 1, 'inappropriate': 1, 'behaviour': 1}"
14,Ambiguous,You may be allowed to submit the assignment later under valid reasons.,"{'you': 1, 'may': 1, 'be': 1, 'allowed': 1, 'to': 1, 'submit': 1, 'the': 1, 'assignment': 1, 'later': 1, 'under': 1, 'valid': 1, 'reasons': 1}"
15,Ambiguous,The administration may take disciplinary action if necessary.,"{'the': 1, 'administration': 1, 'may': 1, 'take': 1, 'disciplinary': 1, 'action': 1, 'if': 1, 'necessary': 1}"
16,Ambiguous,Staff must follow proper procedure.,"{'staff': 1, 'must': 1, 'follow': 1, 'proper': 1, 'procedure': 1}"
17,Ambiguous,"In case of misconduct, suitable action will be taken.","{'in': 1, 'case': 1, 'of': 1, 'misconduct': 1, 'suitable': 1, 'action': 1, 'will': 1, 'be': 1, 'taken': 1}"
18,Ambiguous,Your salary revision will occur periodically.,"{'your': 1, 'salary': 1, 'revision': 1, 'will': 1, 'occur': 1, 'periodically': 1}"
19,Ambiguous,You should be available beyond normal working hours when required.,"{'you': 1, 'should': 1, 'be': 1, 'available': 1, 'beyond': 1, 'normal': 1, 'working': 1, 'hours': 1, 'when': 1, 'required': 1}"
20,Ambiguous,Citizens are advised to follow all safety guidelines.,"{'citizens': 1, 'are': 1, 'advised': 1, 'to': 1, 'follow': 1, 'all': 1, 'safety': 1, 'guidelines': 1}"
21,Ambiguous,Strict action will be taken against violators.,"{'strict': 1, 'action': 1, 'will': 1, 'be': 1, 'taken': 1, 'against': 1, 'violators': 1}"
22,Ambiguous,Applications may be considered on merit.,"{'applications': 1, 'may': 1, 'be': 1, 'considered': 1, 'on': 1, 'merit': 1}"
23,Ambiguous,Applicants must submit the form at the earliest.,"{'applicants': 1, 'must': 1, 'submit': 1, 'the': 2, 'form': 1, 'at': 1, 'earliest': 1}"
24,Ambiguous,The department may take further steps as deemed appropriate.,"{'the': 1, 'department': 1, 'may': 1, 'take': 1, 'further': 1, 'steps': 1, 'as': 1, 'deemed': 1, 'appropriate': 1}"
25,Ambiguous,Citizens are required to maintain proper conduct at all times.,"{'citizens': 1, 'are': 1, 'required': 1, 'to': 1, 'maintain': 1, 'proper': 1, 'conduct': 1, 'at': 1, 'all': 1, 'times': 1}"
26,Ambiguous,The inspection will be carried out soon.,"{'the': 1, 'inspection': 1, 'will': 1, 'be': 1, 'carried': 1, 'out': 1, 'soon': 1}"
27,Ambiguous,The official concerned will review the matter.,"{'the': 2, 'official': 1, 'concerned': 1, 'will': 1, 'review': 1, 'matter': 1}"
28,Ambiguous,Necessary documents should be provided if applicable.,"{'necessary': 1, 'documents': 1, 'should': 1, 'be': 1, 'provided': 1, 'if': 1, 'applicable': 1}"
29,Ambiguous,Public gatherings may be regulated when required.,"{'public': 1, 'gatherings': 1, 'may': 1, 'be': 1, 'regulated': 1, 'when': 1, 'required': 1}"
30,Ambiguous,Vehicles parked improperly will face suitable action.,"{'vehicles': 1, 'parked': 1, 'improperly': 1, 'will': 1, 'face': 1, 'suitable': 1, 'action': 1}"
31,Ambiguous,Complaints will be resolved in due course.,"{'complaints': 1, 'will': 1, 'be': 1, 'resolved': 1, 'in': 1, 'due': 1, 'course': 1}"
32,Ambiguous,The authority may revise the guidelines from time to time.,"{'the': 2, 'authority': 1, 'may': 1, 'revise': 1, 'guidelines': 1, 'from': 1, 'time': 2, 'to': 1}"
33,Ambiguous,The tenant must keep the premises in good condition.,"{'the': 2, 'tenant': 1, 'must': 1, 'keep': 1, 'premises': 1, 'in': 1, 'good': 1, 'condition': 1}"
34,Ambiguous,Repairs will be done whenever necessary.,"{'repairs': 1, 'will': 1, 'be': 1, 'done': 1, 'whenever': 1, 'necessary': 1}"
35,Ambiguous,Pets may be allowed under certain circumstances.,"{'pets': 1, 'may': 1, 'be': 1, 'allowed': 1, 'under': 1, 'certain': 1, 'circumstances': 1}"
36,Ambiguous,Visitors may be permitted with prior intimation.,"{'visitors': 1, 'may': 1, 'be': 1, 'permitted': 1, 'with': 1, 'prior': 1, 'intimation': 1}"
37,Ambiguous,Employees must meet acceptable standards of performance.,"{'employees': 1, 'must': 1, 'meet': 1, 'acceptable': 1, 'standards': 1, 'of': 1, 'performance': 1}"
38,Ambiguous,Your work hours may change depending on requirements.,"{'your': 1, 'work': 1, 'hours': 1, 'may': 1, 'change': 1, 'depending': 1, 'on': 1, 'requirements': 1}"
39,Ambiguous,Travel may be assigned as and when needed.,"{'travel': 1, 'may': 1, 'be': 1, 'assigned': 1, 'as': 1, 'and': 1, 'when': 1, 'needed': 1}"
40,Ambiguous,The team should complete tasks within a reasonable timeline.,"{'the': 1, 'team': 1, 'should': 1, 'complete': 1, 'tasks': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'timeline': 1}"
41,Ambiguous,Performance will be reviewed from time to time.,"{'performance': 1, 'will': 1, 'be': 1, 'reviewed': 1, 'from': 1, 'time': 2, 'to': 1}"
42,Ambiguous,You may be allotted additional responsibilities.,"{'you': 1, 'may': 1, 'be': 1, 'allotted': 1, 'additional': 1, 'responsibilities': 1}"
43,Ambiguous,Disciplinary action may be taken if necessary.,"{'disciplinary': 1, 'action': 1, 'may': 1, 'be': 1, 'taken': 1, 'if': 1, 'necessary': 1}"
44,Ambiguous,Remote work may be allowed in special situations.,"{'remote': 1, 'work': 1, 'may': 1, 'be': 1, 'allowed': 1, 'in': 1, 'special': 1, 'situations': 1}"
45,Ambiguous,You are expected to maintain proper behaviour.,"{'you': 1, 'are': 1, 'expected': 1, 'to': 1, 'maintain': 1, 'proper': 1, 'behaviour': 1}"
46,Ambiguous,Training sessions will be held when appropriate.,"{'training': 1, 'sessions': 1, 'will': 1, 'be': 1, 'held': 1, 'when': 1, 'appropriate': 1}"
47,Ambiguous,Students should follow all classroom norms.,"{'students': 1, 'should': 1, 'follow': 1, 'all': 1, 'classroom': 1, 'norms': 1}"
48,Ambiguous,Assignments may be accepted after the deadline under valid reasons.,"{'assignments': 1, 'may': 1, 'be': 1, 'accepted': 1, 'after': 1, 'the': 1, 'deadline': 1, 'under': 1, 'valid': 1, 'reasons': 1}"
49,Ambiguous,Attendance requirements may vary depending on the course.,"{'attendance': 1, 'requirements': 1, 'may': 1, 'vary': 1, 'depending': 1, 'on': 1, 'the': 1, 'course': 1}"
50,Ambiguous,The exam committee may make changes if required.,"{'the': 1, 'exam': 1, 'committee': 1, 'may': 1, 'make': 1, 'changes': 1, 'if': 1, 'required': 1}"
51,Ambiguous,Appropriate action will be taken for misconduct.,"{'appropriate': 1, 'action': 1, 'will': 1, 'be': 1, 'taken': 1, 'for': 1, 'misconduct': 1}"
52,Ambiguous,The teacher may grant additional time if needed.,"{'the': 1, 'teacher': 1, 'may': 1, 'grant': 1, 'additional': 1, 'time': 1, 'if': 1, 'needed': 1}"
53,Ambiguous,Events may be postponed due to unforeseen conditions.,"{'events': 1, 'may': 1, 'be': 1, 'postponed': 1, 'due': 1, 'to': 1, 'unforeseen': 1, 'conditions': 1}"
54,Ambiguous,Permission for leave will be given in genuine cases.,"{'permission': 1, 'for': 1, 'leave': 1, 'will': 1, 'be': 1, 'given': 1, 'in': 1, 'genuine': 1, 'cases': 1}"
55,Ambiguous,Library access may be restricted as necessary.,"{'library': 1, 'access': 1, 'may': 1, 'be': 1, 'restricted': 1, 'as': 1, 'necessary': 1}"
56,Ambiguous,Students must wear suitable attire.,"{'students': 1, 'must': 1, 'wear': 1, 'suitable': 1, 'attire': 1}"
57,Ambiguous,The supplier shall deliver goods within a reasonable timeframe.,"{'the': 1, 'supplier': 1, 'shall': 1, 'deliver': 1, 'goods': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'timeframe': 1}"
58,Ambiguous,The company may revise the pricing structure.,"{'the': 2, 'company': 1, 'may': 1, 'revise': 1, 'pricing': 1, 'structure': 1}"
59,Ambiguous,Support will be provided whenever required.,"{'support': 1, 'will': 1, 'be': 1, 'provided': 1, 'whenever': 1, 'required': 1}"
60,Ambiguous,The client may request additional services.,"{'the': 1, 'client': 1, 'may': 1, 'request': 1, 'additional': 1, 'services': 1}"
61,Ambiguous,Quality standards should be maintained consistently.,"{'quality': 1, 'standards': 1, 'should': 1, 'be': 1, 'maintained': 1, 'consistently': 1}"
62,Ambiguous,Meetings will be scheduled as per convenience.,"{'meetings': 1, 'will': 1, 'be': 1, 'scheduled': 1, 'as': 1, 'per': 1, 'convenience': 1}"
63,Ambiguous,Patients should follow all advised precautions.,"{'patients': 1, 'should': 1, 'follow': 1, 'all': 1, 'advised': 1, 'precautions': 1}"
64,Ambiguous,Appointments may be rescheduled due to unavoidable reasons.,"{'appointments': 1, 'may': 1, 'be': 1, 'rescheduled': 1, 'due': 1, 'to': 1, 'unavoidable': 1, 'reasons': 1}"
65,Ambiguous,Reports will be issued soon.,"{'reports': 1, 'will': 1, 'be': 1, 'issued': 1, 'soon': 1}"
66,Ambiguous,The doctor may recommend further tests if required.,"{'the': 1, 'doctor': 1, 'may': 1, 'recommend': 1, 'further': 1, 'tests': 1, 'if': 1, 'required': 1}"
67,Ambiguous,Visitors may be allowed during suitable hours.,"{'visitors': 1, 'may': 1, 'be': 1, 'allowed': 1, 'during': 1, 'suitable': 1, 'hours': 1}"
68,Ambiguous,Further instructions will be issued whenever necessary.,"{'further': 1, 'instructions': 1, 'will': 1, 'be': 1, 'issued': 1, 'whenever': 1, 'necessary': 1}"
69,Ambiguous,Appropriate steps will be taken to address the issue.,"{'appropriate': 1, 'steps': 1, 'will': 1, 'be': 1, 'taken': 1, 'to': 1, 'address': 1, 'the': 1, 'issue': 1}"
70,Ambiguous,The officer may initiate action depending on the situation.,"{'the': 2, 'officer': 1, 'may': 1, 'initiate': 1, 'action': 1, 'depending': 1, 'on': 1, 'situation': 1}"
71,Ambiguous,"All notices must be complied with, as applicable.","{'all': 1, 'notices': 1, 'must': 1, 'be': 1, 'complied': 1, 'with': 1, 'as': 1, 'applicable': 1}"
72,Ambiguous,You must follow the guidelines to the best extent possible.,"{'you': 1, 'must': 1, 'follow': 1, 'the': 2, 'guidelines': 1, 'to': 1, 'best': 1, 'extent': 1, 'possible': 1}"
73,Ambiguous,The complaint may be escalated if required.,"{'the': 1, 'complaint': 1, 'may': 1, 'be': 1, 'escalated': 1, 'if': 1, 'required': 1}"
74,Ambiguous,Employees must maintain acceptable levels of conduct.,"{'employees': 1, 'must': 1, 'maintain': 1, 'acceptable': 1, 'levels': 1, 'of': 1, 'conduct': 1}"
75,Ambiguous,You are expected to remain available during critical periods.,"{'you': 1, 'are': 1, 'expected': 1, 'to': 1, 'remain': 1, 'available': 1, 'during': 1, 'critical': 1, 'periods': 1}"
76,Ambiguous,Travel may be required under certain situations.,"{'travel': 1, 'may': 1, 'be': 1, 'required': 1, 'under': 1, 'certain': 1, 'situations': 1}"
77,Ambiguous,The service will be delivered within a reasonable timeline.,"{'the': 1, 'service': 1, 'will': 1, 'be': 1, 'delivered': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'timeline': 1}"
78,Ambiguous,Clarifications will be provided when appropriate.,"{'clarifications': 1, 'will': 1, 'be': 1, 'provided': 1, 'when': 1, 'appropriate': 1}"
79,Ambiguous,Alterations may be approved based on feasibility.,"{'alterations': 1, 'may': 1, 'be': 1, 'approved': 1, 'based': 1, 'on': 1, 'feasibility': 1}"
80,Ambiguous,Repairs will be undertaken as and when necessary.,"{'repairs': 1, 'will': 1, 'be': 1, 'undertaken': 1, 'as': 1, 'and': 1, 'when': 1, 'necessary': 1}"
81,Ambiguous,Attendance rules may be relaxed under genuine circumstances.,"{'attendance': 1, 'rules': 1, 'may': 1, 'be': 1, 'relaxed': 1, 'under': 1, 'genuine': 1, 'circumstances': 1}"
82,Ambiguous,Assignments should be submitted within a reasonable period.,"{'assignments': 1, 'should': 1, 'be': 1, 'submitted': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'period': 1}"
83,Ambiguous,Students must behave appropriately at all times.,"{'students': 1, 'must': 1, 'behave': 1, 'appropriately': 1, 'at': 1, 'all': 1, 'times': 1}"
84,Ambiguous,Events may be rescheduled for unavoidable reasons.,"{'events': 1, 'may': 1, 'be': 1, 'rescheduled': 1, 'for': 1, 'unavoidable': 1, 'reasons': 1}"
85,Ambiguous,The contractor shall deliver the materials whenever feasible without causing major inconvenience.,"{'the': 2, 'contractor': 1, 'shall': 1, 'deliver': 1, 'materials': 1, 'whenever': 1, 'feasible': 1, 'without': 1, 'causing': 1, 'major': 1, 'inconvenience': 1}"
86,Ambiguous,Payment will be adjusted if circumstances change significantly during the project.,"{'payment': 1, 'will': 1, 'be': 1, 'adjusted': 1, 'if': 1, 'circumstances': 1, 'change': 1, 'significantly': 1, 'during': 1, 'the': 1, 'project': 1}"
87,Ambiguous,The vendor must fix any issues that may arise from time to time.,"{'the': 1, 'vendor': 1, 'must': 1, 'fix': 1, 'any': 1, 'issues': 1, 'that': 1, 'may': 1, 'arise': 1, 'from': 1, 'time': 2, 'to': 1}"
88,Ambiguous,The employee shall perform additional duties as required by management.,"{'the': 1, 'employee': 1, 'shall': 1, 'perform': 1, 'additional': 1, 'duties': 1, 'as': 1, 'required': 1, 'by': 1, 'management': 1}"
89,Ambiguous,The company may revise the terms if necessary for operational reasons.,"{'the': 2, 'company': 1, 'may': 1, 'revise': 1, 'terms': 1, 'if': 1, 'necessary': 1, 'for': 1, 'operational': 1, 'reasons': 1}"
90,Ambiguous,Service availability is subject to the provider’s capacity during peak periods.,"{'service': 1, 'availability': 1, 'is': 1, 'subject': 1, 'to': 1, 'the': 1, 'provider': 1, 'capacity': 1, 'during': 1, 'peak': 1, 'periods': 1}"
91,Ambiguous,The parties will cooperate closely to ensure smooth execution of the agreement.,"{'the': 2, 'parties': 1, 'will': 1, 'cooperate': 1, 'closely': 1, 'to': 1, 'ensure': 1, 'smooth': 1, 'execution': 1, 'of': 1, 'agreement': 1}"
92,Ambiguous,The refund will be processed as per applicable norms.,"{'the': 1, 'refund': 1, 'will': 1, 'be': 1, 'processed': 1, 'as': 1, 'per': 1, 'applicable': 1, 'norms': 1}"
93,Ambiguous,You are requested to appear at the office at the earliest convenient time.,"{'you': 1, 'are': 1, 'requested': 1, 'to': 1, 'appear': 1, 'at': 2, 'the': 2, 'office': 1, 'earliest': 1, 'convenient': 1, 'time': 1}"
94,Ambiguous,Appropriate action will be taken if the issue is not resolved soon.,"{'appropriate': 1, 'action': 1, 'will': 1, 'be': 1, 'taken': 1, 'if': 1, 'the': 1, 'issue': 1, 'is': 1, 'not': 1, 'resolved': 1, 'soon': 1}"
95,Ambiguous,Your application will be considered based on the prevailing situation.,"{'your': 1, 'application': 1, 'will': 1, 'be': 1, 'considered': 1, 'based': 1, 'on': 1, 'the': 1, 'prevailing': 1, 'situation': 1}"
96,Ambiguous,The matter will be reviewed shortly and you will be informed accordingly.,"{'the': 1, 'matter': 1, 'will': 2, 'be': 2, 'reviewed': 1, 'shortly': 1, 'and': 1, 'you': 1, 'informed': 1, 'accordingly': 1}"
97,Ambiguous,Necessary steps are being taken to address your complaint.,"{'necessary': 1, 'steps': 1, 'are': 1, 'being': 1, 'taken': 1, 'to': 1, 'address': 1, 'your': 1, 'complaint': 1}"
98,Ambiguous,You may submit the remaining documents whenever possible.,"{'you': 1, 'may': 1, 'submit': 1, 'the': 1, 'remaining': 1, 'documents': 1, 'whenever': 1, 'possible': 1}"
99,Ambiguous,Your responsibilities will be communicated in due course.,"{'your': 1, 'responsibilities': 1, 'will': 1, 'be': 1, 'communicated': 1, 'in': 1, 'due': 1, 'course': 1}"
100,Ambiguous,The officer concerned will look into the matter as deemed fit.,"{'the': 2, 'officer': 1, 'concerned': 1, 'will': 1, 'look': 1, 'into': 1, 'matter': 1, 'as': 1, 'deemed': 1, 'fit': 1}"
101,Safe,The department will issue the final decision within 30 days.,"{'the': 2, 'department': 1, 'will': 1, 'issue': 1, 'final': 1, 'decision': 1, 'within': 1, 'days': 1}"
102,Safe,All applications must be submitted through the official online portal.,"{'all': 1, 'applications': 1, 'must': 1, 'be': 1, 'submitted': 1, 'through': 1, 'the': 1, 'official': 1, 'online': 1, 'portal': 1}"
103,Safe,The officer-in-charge shall verify the documents before approval.,"{'the': 2, 'officer': 1, 'in': 1, 'charge': 1, 'shall': 1, 'verify': 1, 'documents': 1, 'before': 1, 'approval': 1}"
104,Safe,The committee will conduct the review meeting on 12 March 2025.,"{'the': 2, 'committee': 1, 'will': 1, 'conduct': 1, 'review': 1, 'meeting': 1, 'on': 1, 'march': 1}"
105,Safe,Complaints received after the deadline of 5:00 PM will not be accepted.,"{'complaints': 1, 'received': 1, 'after': 1, 'the': 1, 'deadline': 1, 'of': 1, 'pm': 1, 'will': 1, 'not': 1, 'be': 1, 'accepted': 1}"
106,Safe,The authority shall provide written reasons for any rejection.,"{'the': 1, 'authority': 1, 'shall': 1, 'provide': 1, 'written': 1, 'reasons': 1, 'for': 1, 'any': 1, 'rejection': 1}"
107,Safe,Applicants must attach a copy of their government-issued ID.,"{'applicants': 1, 'must': 1, 'attach': 1, 'a': 1, 'copy': 1, 'of': 1, 'their': 1, 'government': 1, 'issued': 1, 'id': 1}"
108,Safe,The notice will take effect from 1 January 2026.,"{'the': 1, 'notice': 1, 'will': 1, 'take': 1, 'effect': 1, 'from': 1, 'january': 1}"
109,Safe,Only registered members may participate in the final selection process.,"{'only': 1, 'registered': 1, 'members': 1, 'may': 1, 'participate': 1, 'in': 1, 'the': 1, 'final': 1, 'selection': 1, 'process': 1}"
110,Safe,The decision shall be communicated by email to all applicants.,"{'the': 1, 'decision': 1, 'shall': 1, 'be': 1, 'communicated': 1, 'by': 1, 'email': 1, 'to': 1, 'all': 1, 'applicants': 1}"
111,Safe,Employees must submit their monthly reports by the 3rd working day.,"{'employees': 1, 'must': 1, 'submit': 1, 'their': 1, 'monthly': 1, 'reports': 1, 'by': 1, 'the': 1, 'working': 1, 'day': 1}"
112,Safe,"Your working hours are 9:00 AM to 6:00 PM, Monday to Friday.","{'your': 1, 'working': 1, 'hours': 1, 'are': 1, 'am': 1, 'to': 2, 'pm': 1, 'monday': 1, 'friday': 1}"
113,Safe,The company will provide a laptop and official email ID on joining.,"{'the': 1, 'company': 1, 'will': 1, 'provide': 1, 'a': 1, 'laptop': 1, 'and': 1, 'official': 1, 'email': 1, 'id': 1, 'on': 1, 'joining': 1}"
114,Safe,Leave requests must be submitted at least two days in advance.,"{'leave': 1, 'requests': 1, 'must': 1, 'be': 1, 'submitted': 1, 'at': 1, 'least': 1, 'two': 1, 'days': 1, 'in': 1, 'advance': 1}"
115,Safe,The HR department will conduct the appraisal meeting next quarter.,"{'the': 2, 'hr': 1, 'department': 1, 'will': 1, 'conduct': 1, 'appraisal': 1, 'meeting': 1, 'next': 1, 'quarter': 1}"
116,Safe,Training for new employees will begin on 15 April at 10:00 AM.,"{'training': 1, 'for': 1, 'new': 1, 'employees': 1, 'will': 1, 'begin': 1, 'on': 1, 'april': 1, 'at': 1, 'am': 1}"
117,Safe,The company will reimburse travel expenses upon receipt submission.,"{'the': 1, 'company': 1, 'will': 1, 'reimburse': 1, 'travel': 1, 'expenses': 1, 'upon': 1, 'receipt': 1, 'submission': 1}"
118,Safe,Misconduct shall result in disciplinary action as per company policy.,"{'misconduct': 1, 'shall': 1, 'result': 1, 'in': 1, 'disciplinary': 1, 'action': 1, 'as': 1, 'per': 1, 'company': 1, 'policy': 1}"
119,Safe,The probation period will last for six months from the date of joining.,"{'the': 2, 'probation': 1, 'period': 1, 'will': 1, 'last': 1, 'for': 1, 'six': 1, 'months': 1, 'from': 1, 'date': 1, 'of': 1, 'joining': 1}"
120,Safe,Overtime will be compensated according to the approved rate chart.,"{'overtime': 1, 'will': 1, 'be': 1, 'compensated': 1, 'according': 1, 'to': 1, 'the': 1, 'approved': 1, 'rate': 1, 'chart': 1}"
121,Safe,The supplier shall deliver all products by 20 June 2026.,"{'the': 1, 'supplier': 1, 'shall': 1, 'deliver': 1, 'all': 1, 'products': 1, 'by': 1, 'june': 1}"
